g0,beta1_fixed,omega_star,vscale,absX3,abs_detJ,cond_J
3.000000000000000000e+00,2.420089600177917910e-01,2.606604856647606883e-01,1.008594629068889192e+00,2.873623207992682816e-29,4.356884787760345449e-05,6.137388739191986353e+00
2.000000000000000000e+00,2.470139091429683076e-01,2.615148785893814942e-01,1.007531618065588885e+00,3.414397305898387169e-25,2.496867645783291370e-05,3.653176191114100746e+00
1.500000000000000000e+00,2.543563637254586673e-01,2.625945539110813298e-01,1.006662538807216123e+00,8.727720440320379036e-26,1.830534083312914721e-05,2.930594827577830408e+00
