g0,omega_star,beta1_star,absX1,absX3,cond_J,floquet_radius,dmax_over_g0
4.000000000000000000e+00,2.601978406689978152e-01,2.403055628858432879e-01,2.924154101125206462e-01,3.494245332599156854e-29,2.054051549411710312e+03,6.948693538151733406e-01,6.957238307037405534e-02
3.000000000000000000e+00,2.605370380911550821e-01,2.420089600177917910e-01,2.924567223538693250e-01,2.351925519118960066e-27,2.064226614914515267e+03,6.952062017112504710e-01,9.277539121412377299e-02
2.000000000000000000e+00,2.614213328527424385e-01,2.470139091429683076e-01,2.925611708428507707e-01,1.298377395482673767e-24,2.129835103386944411e+03,6.960831056740393041e-01,1.392134974484242338e-01
1.500000000000000000e+00,2.625305268635078626e-01,2.543563637254586673e-01,2.926858794609234482e-01,2.181171872517853057e-28,2.260709002320164927e+03,6.971800491204315220e-01,1.857093536489986541e-01
1.000000000000000000e+00,2.653765225701815722e-01,2.775804440630988412e-01,2.929782929352250376e-01,1.132094441207971485e-24,2.697443546780549696e+03,6.999748285484513888e-01,2.789644045489215740e-01
8.000000000000000444e-01,2.682086966211158496e-01,3.049600774831818240e-01,2.932397500499263066e-01,3.563392636414062373e-28,3.184131132191936558e+03,7.027189386773765589e-01,3.492748399248369884e-01
