omega,Re_xi_lo,beta1_at_min,min_abs_X3,abs_X1
2.999999999999999889e-01,2.174858788082643657e-01,2.349891346683826432e-01,2.769047230730423291e-05,2.990124229442981396e-01
2.000000000000000111e-01,2.288547603804308439e-01,2.421090607820750029e-01,3.603033472255643370e-06,2.846490464243379703e-01
1.199999999999999956e-01,2.324196529867389727e-01,2.441881258995513282e-01,1.271617257563780951e-06,2.778517758328191145e-01
8.000000000000000167e-02,2.333646217035919013e-01,2.447386445173370395e-01,7.384224678351779465e-07,2.757959884570995723e-01
5.000000000000000278e-02,2.338019480853403553e-01,2.449937311255347971e-01,4.327854486349031320e-07,2.748050841603582040e-01
2.999999999999999889e-02,2.339772519343011337e-01,2.450960400071971745e-01,2.530497626083227471e-07,2.744006689112900577e-01
2.000000000000000042e-02,2.340315591640218518e-01,2.451277386063256403e-01,1.673539844037270302e-07,2.742745392592782494e-01
