n_harmonics_kept,re_beta1,percent_error,abs_im_beta1
1.000000000000000000e+00,2.311198236673306650e-01,2.953737713802384590e+00,9.645387968236380236e-04
2.000000000000000000e+00,2.389011057445976915e-01,3.135905898064228481e-01,7.319041415960091329e-04
3.000000000000000000e+00,2.381541835857352019e-01,3.894913213065009927e-05,1.736071765052160875e-07
