zeta2,Om_N7,Om_N9,Om_N13,b1_N7,b1_N9,b1_N13,absX3_N13
2.000000000000000042e-02,2.597280970367695785e-01,2.597280972469284688e-01,2.597280973028144868e-01,2.381542763447589695e-01,2.381542765286397967e-01,2.381542765234467562e-01,2.720702157175026404e-24
5.000000000000000104e-03,2.614213181502427763e-01,2.614213185182538424e-01,2.614213185763497593e-01,2.377388269585214153e-01,2.377388270625062916e-01,2.377388270575696294e-01,1.011315496583326289e-30
1.000000000000000021e-03,2.622904002645514154e-01,2.622904005987626852e-01,2.622904006542581823e-01,2.377834815316158257e-01,2.377834816024039788e-01,2.377834815990436113e-01,2.126952242812813711e-24
5.000000000000000104e-04,2.632210294937949446e-01,2.632210297607145422e-01,2.632210298122846792e-01,2.378294683053099046e-01,2.378294683519872332e-01,2.378294683493248352e-01,4.066850044349005787e-24
1.000000000000000048e-04,2.693134734178574408e-01,2.693134732697405331e-01,2.693134733015218885e-01,2.377200661714087837e-01,2.377200661853253183e-01,2.377200661832534478e-01,1.951550102266087078e-24
5.000000000000000240e-05,2.750669313086697154e-01,2.750669311066032963e-01,2.750669311292492925e-01,2.373696393959179585e-01,2.373696394087449757e-01,2.373696394069707283e-01,1.892069305111142677e-25
1.000000000000000082e-05,3.009612535751094442e-01,3.009612568174681591e-01,3.009612568221936568e-01,2.348296519515604974e-01,2.348296515430023101e-01,2.348296515424070918e-01,1.041012710228155542e-29
5.000000000000000409e-06,3.192992213302658366e-01,3.192992295923474111e-01,3.192992296380430250e-01,2.321545186745083145e-01,2.321545172468232332e-01,2.321545172389739564e-01,2.151669182537586094e-27
1.999999999999999909e-06,3.506826809397066147e-01,3.506827025658921793e-01,3.506827026022599769e-01,2.244932624246747943e-01,2.244932549092910901e-01,2.244932548966755703e-01,1.647949373817428607e-27
