zeta2,Q2,n_crossings,dist_to_omega_star,arg_xi_lo_at_star,arg_over_zeta2
2.000000000000000042e-02,2.500000000000000000e+01,2.000000000000000000e+00,9.887693556581109711e-01,4.395119572074978817e-03,2.197559786037489304e-01
5.000000000000000104e-03,1.000000000000000000e+02,4.000000000000000000e+00,9.881259900698613485e-01,1.099493364284792000e-03,2.198986728569583826e-01
1.000000000000000021e-03,5.000000000000000000e+02,4.000000000000000000e+00,9.897270762877077299e-01,2.199078139597654272e-04,2.199078139597654136e-01
1.000000000000000048e-04,5.000000000000000000e+03,4.000000000000000000e+00,9.902144986310483787e-01,2.199081910526789425e-05,2.199081910526789196e-01
1.000000000000000082e-05,4.999999999999999272e+04,4.000000000000000000e+00,9.902661298427672953e-01,2.199081948236170568e-06,2.199081948236170370e-01
1.999999999999999909e-06,2.500000000000000000e+05,4.000000000000000000e+00,9.902707454333117276e-01,4.398163897203672241e-07,2.199081948601836201e-01
