omega_star,beta1_star,mean_x1,mean_x2,abs_X3,abs_X2
2.592984933185109586e-01,2.441439857107992051e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.261852199711917354e-17,2.590277372445304836e-03
2.596348931371196822e-01,2.441842144573328210e-01,-1.954371089882032692e-03,-5.153817918407956826e-05,1.584469535475575171e-25,2.597521738373668836e-03
