rtol,atol,omega_ode,force_ode,abs_X3
9.999999999999999395e-12,1.000000000000000030e-13,2.597280972218267148e-01,2.999999981245561886e-01,2.031330821370476086e-16
9.999999999999999799e-13,9.999999999999999988e-15,2.597280972259349840e-01,2.999999981223017698e-01,4.004920138791777067e-16
1.000000000000000030e-13,1.000000000000000078e-15,2.597280972264172649e-01,2.999999981222855605e-01,2.931015397124742899e-16
