beta1,ReX3_knl0,ImX3_knl0,absX3_knl0,absX1_knl0,ReX3_knlON,ImX3_knlON,absX3_knlON,absX1_knlON
2.280000000000000082e-01,-2.658971201729021933e-03,-1.838436386680251987e-04,2.665319180717945144e-03,2.883530963317191831e-01,1.303822230657809746e-04,1.009841000766853699e-05,1.307727111298762047e-04,2.925432764345390901e-01
2.290000000000000091e-01,-2.669528211426524297e-03,-1.845468277948079656e-04,2.675899550291681826e-03,2.883365617190025709e-01,1.174899426110353139e-04,9.097293025485977237e-06,1.178416197917184352e-04,2.925248947841642688e-01
2.299999999999999822e-01,-2.680076417079353679e-03,-1.852492445547443899e-04,2.686471083781288068e-03,2.883200337982135819e-01,1.046090946374526604e-04,8.097629139298862146e-06,1.049220390506453495e-04,2.925065217095389469e-01
2.300000000000000100e-01,-2.680076417079352812e-03,-1.852492445547411373e-04,2.686471083781287201e-03,2.883200337982135819e-01,1.046090946374471717e-04,8.097629139303139662e-06,1.049220390506402131e-04,2.925065217095389469e-01
2.310000000000000109e-01,-2.690615828726029141e-03,-1.859508904359979595e-04,2.697033791305736804e-03,2.883035125630172280e-01,9.173966486730985898e-05,7.099415744754028406e-06,9.201395445193727277e-05,2.924881572012774100e-01
2.320000000000000118e-01,-2.701146456389081230e-03,-1.866517669239046442e-04,2.707587682967830742e-03,2.882869980070882909e-01,7.888163904808883915e-05,6.102650243207019998e-06,7.911735156654252864e-05,2.924698012500106525e-01
2.330000000000000127e-01,-2.711668310075114868e-03,-1.873518755008961344e-04,2.718132768854261347e-03,2.882704901241112116e-01,6.603500295242262219e-05,5.107330041625341791e-06,6.623221599101568042e-05,2.924514538463859892e-01
2.340000000000000135e-01,-2.722181399774805874e-03,-1.880512176465703956e-04,2.728669059035609707e-03,2.882539889077802009e-01,5.319974237806239509e-05,4.113452552735845815e-06,5.335853334749575898e-05,2.924331149810669994e-01
2.350000000000000144e-01,-2.732685735462990310e-03,-1.887497948376817749e-04,2.739196563566435871e-03,2.882374943517987953e-01,4.037584314780968015e-05,3.121015194749254125e-06,4.049628928361691092e-05,2.924147846447336940e-01
2.360000000000000153e-01,-2.743181327098653203e-03,-1.894476085481743943e-04,2.749715292485269309e-03,2.882210064498803570e-01,2.756329110948726825e-05,2.130015391652062871e-06,2.764546947250154097e-05,2.923964628280825151e-01
2.369999999999999885e-01,-2.753668184624887341e-03,-1.901446602491512242e-04,2.760225255814566410e-03,2.882045251957477405e-01,1.476207213584436470e-05,1.140450572939461376e-06,1.480605961264476829e-05,2.923781495218259474e-01
2.379999999999999893e-01,-2.764146317969130070e-03,-1.908409514088727280e-04,2.770726463560945537e-03,2.881880505831335149e-01,1.972172124475502313e-06,1.523181737187432892e-07,1.978045427841137693e-06,2.923598447166926850e-01
2.381542759999999981e-01,-2.765762066314444989e-03,-1.909483048000773509e-04,2.772345768941884836e-03,2.881855095367487074e-01,4.433821476536186102e-12,4.365269578786338772e-13,4.455258541403438760e-12,2.923570214809116941e-01
2.389999999999999902e-01,-2.774615737043010198e-03,-1.915364834928400472e-04,2.781218925715041746e-03,2.881715826057795748e-01,-1.080642300213489063e-05,-8.343843652930134088e-07,1.083858733277153105e-05,2.923415484034279088e-01
2.399999999999999911e-01,-2.785076451742429099e-03,-1.922312579637034682e-04,2.791702652251580076e-03,2.881551212574374743e-01,-2.357372729678258903e-05,-1.819659597885782372e-06,2.364385289489110271e-05,2.923232605727925093e-01
2.409999999999999920e-01,-2.795528471947646577e-03,-1.929252762813458511e-04,2.802177653129468791e-03,2.881386665318681484e-01,-3.632975478752012086e-05,-2.803510072243194632e-06,3.643776545901944246e-05,2.923049812155639193e-01
2.419999999999999929e-01,-2.805971807523238801e-03,-1.936185399028599160e-04,2.812643938291753843e-03,2.881222184228422467e-01,-4.907451947779613158e-05,-3.785938331045654506e-06,4.922033920060966408e-05,2.922867103225352814e-01
2.429999999999999938e-01,-2.816406468318196753e-03,-1.943110502825188071e-04,2.823101517665716886e-03,2.881057769241395783e-01,-6.180803534637859008e-05,-4.766946911453224107e-06,6.199158826998868064e-05,2.922684478845159473e-01
2.439999999999999947e-01,-2.826832464165888927e-03,-1.950028088718736160e-04,2.833550401162843613e-03,2.880893420295496110e-01,-7.453031634758620818e-05,-5.746538345156959047e-06,7.475152679259224433e-05,2.922501938923312559e-01
2.449999999999999956e-01,-2.837249804884182328e-03,-1.956938171196493802e-04,2.843990598678939122e-03,2.880729137328710832e-01,-8.724137641118820277e-05,-6.724715158322683447e-06,8.750016886886104596e-05,2.922319483368224780e-01
