omega,beta1,kappa,abs_X3,abs_X1,is_fold
1.457420580004002542e+00,2.763725040665661048e-01,1.306834879782146519e+00,7.044771865841360363e-25,2.445972532837055624e+00,0.000000000000000000e+00
1.454101459278402730e+00,2.764170183155235661e-01,1.297043080858036435e+00,3.659852720453754674e-25,2.436736722179806414e+00,0.000000000000000000e+00
1.450775973334738955e+00,2.764619188217642409e-01,1.287260960918290564e+00,1.318844451100404368e-25,2.427475001763405693e+00,0.000000000000000000e+00
1.447444121627185387e+00,2.765072096079569941e-01,1.277488745144486071e+00,2.909133127348850506e-25,2.418187289898448000e+00,0.000000000000000000e+00
1.444105903568500882e+00,2.765528947386857173e-01,1.267726660600226207e+00,9.958449423422951298e-26,2.408873504629013063e+00,0.000000000000000000e+00
1.440761318524193868e+00,2.765989783205661801e-01,1.257974936256976761e+00,2.291338217320557456e-25,2.399533563744098430e+00,0.000000000000000000e+00
1.437410365806278678e+00,2.766454645023492254e-01,1.248233803020132093e+00,8.585027772151625980e-26,2.390167384789462446e+00,0.000000000000000000e+00
1.434053044666580234e+00,2.766923574749980408e-01,1.238503493755290341e+00,4.763754032882812882e-25,2.380774885079907310e+00,0.000000000000000000e+00
1.430689354289585102e+00,2.767396614717498315e-01,1.228784243314755331e+00,4.948548673679930532e-25,2.371355981711992911e+00,0.000000000000000000e+00
1.427319293784797605e+00,2.767873807681512921e-01,1.219076288564249655e+00,2.823811489420843801e-25,2.361910591577214724e+00,0.000000000000000000e+00
1.423942862178588120e+00,2.768355196820738162e-01,1.209379868409845793e+00,3.529405280672834895e-25,2.352438631375644018e+00,0.000000000000000000e+00
1.420560058405496262e+00,2.768840825736944566e-01,1.199695223825117285e+00,1.584333128276605230e-25,2.342940017630080973e+00,0.000000000000000000e+00
1.417170881298976726e+00,2.769330738454656160e-01,1.190022597878505062e+00,5.179010063894851863e-25,2.333414666700665663e+00,0.000000000000000000e+00
1.413775329581537843e+00,2.769824979420376643e-01,1.180362235760896272e+00,4.480576652622882674e-25,2.323862494800061462e+00,0.000000000000000000e+00
1.410373401854266406e+00,2.770323593501679005e-01,1.170714384813425601e+00,5.106307829073698133e-25,2.314283418009132287e+00,0.000000000000000000e+00
1.406965096585682362e+00,2.770826625985837732e-01,1.161079294555481090e+00,1.625271559696944589e-25,2.304677352293206027e+00,0.000000000000000000e+00
1.403550412099908495e+00,2.771334122578220649e-01,1.151457216712925113e+00,3.092652224867090103e-25,2.295044213518882881e+00,0.000000000000000000e+00
1.400129346564116917e+00,2.771846129400304948e-01,1.141848405246540077e+00,3.625246238573756969e-25,2.285383917471457860e+00,0.000000000000000000e+00
1.396701897975200612e+00,2.772362692987265231e-01,1.132253116380664615e+00,2.375813446114756345e-25,2.275696379872941044e+00,0.000000000000000000e+00
1.393268064145650298e+00,2.772883860285201285e-01,1.122671608632048734e+00,2.572037658195271508e-25,2.265981516400718654e+00,0.000000000000000000e+00
1.389827842688589499e+00,2.773409678647992815e-01,1.113104142838925004e+00,1.651307435432226082e-25,2.256239242706850501e+00,0.000000000000000000e+00
1.386381231001912351e+00,2.773940195833575761e-01,1.103550982190264929e+00,2.434306446997036348e-25,2.246469474438067770e+00,0.000000000000000000e+00
1.382928226251501913e+00,2.774475459999907745e-01,1.094012392255260036e+00,1.849655208623733686e-25,2.236672127256439158e+00,0.000000000000000000e+00
1.379468825353462824e+00,2.775015519700329558e-01,1.084488641012993027e+00,4.000107538794149792e-25,2.226847116860775966e+00,0.000000000000000000e+00
1.376003024955327447e+00,2.775560423878464245e-01,1.074979998882314325e+00,3.238341574451957217e-25,2.216994359008773063e+00,0.000000000000000000e+00
1.372530821416178437e+00,2.776110221862514438e-01,1.065486738751910245e+00,1.430503794154766942e-25,2.207113769539927439e+00,0.000000000000000000e+00
1.369052210785641099e+00,2.776664963359061211e-01,1.056009136010576110e+00,2.853128965392967151e-25,2.197205264399236579e+00,0.000000000000000000e+00
1.365567188781676045e+00,2.777224698446171258e-01,1.046547468577671225e+00,2.793556629634917116e-25,2.187268759661735285e+00,0.000000000000000000e+00
1.362075750767121951e+00,2.777789477565917875e-01,1.037102016933773463e+00,8.581700172428591567e-25,2.177304171557879364e+00,0.000000000000000000e+00
1.358577891724918718e+00,2.778359351516209719e-01,1.027673064151516158e+00,1.606198097319669949e-25,2.167311416499800636e+00,0.000000000000000000e+00
1.355073606231945060e+00,2.778934371441901807e-01,1.018260895926605736e+00,7.858559311230442846e-25,2.157290411108482964e+00,0.000000000000000000e+00
1.351562888431402820e+00,2.779514588825189869e-01,1.008865800609032082e+00,6.076375917839190604e-25,2.147241072241872661e+00,0.000000000000000000e+00
1.348045732003667840e+00,2.780100055475164811e-01,9.994880692344408901e-01,3.424234687859768145e-25,2.137163317023968112e+00,0.000000000000000000e+00
1.344522130135539006e+00,2.780690823516610566e-01,9.901279955556967494e-01,2.255805131764264180e-25,2.127057062874916582e+00,0.000000000000000000e+00
1.340992075487790869e+00,2.781286945377871023e-01,9.807858760746023252e-01,2.367842480010177518e-25,2.116922227542151536e+00,0.000000000000000000e+00
1.337455560160956125e+00,2.781888473777854309e-01,9.714620100737956232e-01,1.718417707680454173e-25,2.106758729132613972e+00,0.000000000000000000e+00
1.333912575659236710e+00,2.782495461712017337e-01,9.621566996488020163e-01,7.609743046794879067e-26,2.096566486146099972e+00,0.000000000000000000e+00
1.330363112852456231e+00,2.783107962437416094e-01,9.528702497402536942e-01,3.156825784937567279e-25,2.086345417509752664e+00,0.000000000000000000e+00
1.326807161935945611e+00,2.783726029456614071e-01,9.436029681662535529e-01,9.248712646710153719e-26,2.076095442613769659e+00,0.000000000000000000e+00
1.323244712388263578e+00,2.784349716500548744e-01,9.343551656549021756e-01,1.548916879701863705e-25,2.065816481348348610e+00,0.000000000000000000e+00
1.319675752926634082e+00,2.784979077510175705e-01,9.251271558769602610e-01,2.474277443571130282e-25,2.055508454141923291e+00,0.000000000000000000e+00
1.316100271459986537e+00,2.785614166616914855e-01,9.159192554786603768e-01,2.313597278565939455e-25,2.045171282000737722e+00,0.000000000000000000e+00
1.312518255039473392e+00,2.786255038121761007e-01,9.067317841146496082e-01,4.335423830448366524e-25,2.034804886549813396e+00,0.000000000000000000e+00
1.308929689806338503e+00,2.786901746473102737e-01,8.975650644810733159e-01,2.255909897087799245e-25,2.024409190075345144e+00,0.000000000000000000e+00
1.305334560936991961e+00,2.787554346243038550e-01,8.884194223487761333e-01,2.095781210009820576e-25,2.013984115568599353e+00,0.000000000000000000e+00
1.301732852585155698e+00,2.788212892102266416e-01,8.792951865966381897e-01,4.540807401839497785e-25,2.003529586771356286e+00,0.000000000000000000e+00
1.298124547820918018e+00,2.788877438793339048e-01,8.701926892450173590e-01,3.429573093074415496e-25,1.993045528222964657e+00,0.000000000000000000e+00
1.294509628566544057e+00,2.789548041102307141e-01,8.611122654893152983e-01,4.259909154209279159e-25,1.982531865309065111e+00,0.000000000000000000e+00
1.290888075528867418e+00,2.790224753828613458e-01,8.520542537336458500e-01,1.348368082592279319e-24,1.971988524312049629e+00,0.000000000000000000e+00
1.287259868128087126e+00,2.790907631753161700e-01,8.430189956246104677e-01,4.237537743733201198e-25,1.961415432463326614e+00,0.000000000000000000e+00
1.283624984422781168e+00,2.791596729604486349e-01,8.340068360851731200e-01,4.616787200748215239e-25,1.950812517997459139e+00,0.000000000000000000e+00
1.279983401030932555e+00,2.792292102022880806e-01,8.250181233486244547e-01,9.503643323324078952e-25,1.940179710208254527e+00,0.000000000000000000e+00
1.276335093046769176e+00,2.792993803522478280e-01,8.160532089926464394e-01,1.371358573438385382e-25,1.929516939506879858e+00,0.000000000000000000e+00
1.272680033953180745e+00,2.793701888451031179e-01,8.071124479734497204e-01,1.619307814257247547e-25,1.918824137482095127e+00,0.000000000000000000e+00
1.269018195529493909e+00,2.794416410947461737e-01,7.981961986600050185e-01,5.524575494185786711e-25,1.908101236962676639e+00,0.000000000000000000e+00
1.265349547754346160e+00,2.795137424896884104e-01,7.893048228683431367e-01,3.151780778424008560e-25,1.897348172082136575e+00,0.000000000000000000e+00
1.261674058703404988e+00,2.795864983883115662e-01,7.804386858959322382e-01,5.517258004831005416e-25,1.886564878345824647e+00,0.000000000000000000e+00
1.257991694441655151e+00,2.796599141138498834e-01,7.715981565561282896e-01,9.368909733766805860e-25,1.875751292700515327e+00,0.000000000000000000e+00
1.254302418909960082e+00,2.797339949490849076e-01,7.627836072126897848e-01,3.651139801831407794e-25,1.864907353606596763e+00,0.000000000000000000e+00
1.250606193805591682e+00,2.798087461307484092e-01,7.539954138143588613e-01,3.713027932121173703e-25,1.854033001112955548e+00,0.000000000000000000e+00
1.246902978456402744e+00,2.798841728436097798e-01,7.452339559295070304e-01,2.818783277403632314e-25,1.843128176934697215e+00,0.000000000000000000e+00
1.243192729688298748e+00,2.799602802142389657e-01,7.364996167808445238e-01,5.323202704273529908e-25,1.832192824533810827e+00,0.000000000000000000e+00
1.239475401685642630e+00,2.800370733044232341e-01,7.277927832801897035e-01,6.468170556556116131e-25,1.821226889202921084e+00,0.000000000000000000e+00
1.235750945844207749e+00,2.801145571042221172e-01,7.191138460633011986e-01,2.353235868626574158e-25,1.810230318152265205e+00,0.000000000000000000e+00
1.232019310616273122e+00,2.801927365246444923e-01,7.104631995247758791e-01,1.576596189381654559e-25,1.799203060600043091e+00,0.000000000000000000e+00
1.228280441347430196e+00,2.802716163899256485e-01,7.018412418530121100e-01,4.510172928399502778e-25,1.788145067866297566e+00,0.000000000000000000e+00
1.224534280104638384e+00,2.803512014293831900e-01,6.932483750652413956e-01,6.665006751729722910e-26,1.777056293470497428e+00,0.000000000000000000e+00
1.220780765495053988e+00,2.804314962688353452e-01,6.846850050426376288e-01,3.364413396306815095e-25,1.765936693232990518e+00,0.000000000000000000e+00
1.217019832475112251e+00,2.805125054215519831e-01,6.761515415655047212e-01,3.038178893323271741e-25,1.754786225380528863e+00,0.000000000000000000e+00
1.213251412149326081e+00,2.805942332787214610e-01,6.676483983485542728e-01,2.934766386846288644e-25,1.743604850656051974e+00,0.000000000000000000e+00
1.209475431558218794e+00,2.806766840994021073e-01,6.591759930762838282e-01,3.215727522103703867e-25,1.732392532432955434e+00,0.000000000000000000e+00
1.205691813454788264e+00,2.807598619999366329e-01,6.507347474384631569e-01,1.980787949809684264e-25,1.721149236834058405e+00,0.000000000000000000e+00
1.201900476068848089e+00,2.808437709427967777e-01,6.423250871657476546e-01,2.487393678615440434e-25,1.709874932855525165e+00,0.000000000000000000e+00
1.198101332858563683e+00,2.809284147248321539e-01,6.339474420654311881e-01,4.582261711641312329e-25,1.698569592495985825e+00,0.000000000000000000e+00
1.194294292248453626e+00,2.810137969648899281e-01,6.256022460573628097e-01,2.009800423467516915e-25,1.687233190891141765e+00,0.000000000000000000e+00
1.190479257353081355e+00,2.810999210907714763e-01,6.172899372100441040e-01,1.729485853804602580e-25,1.675865706454145121e+00,0.000000000000000000e+00
1.186656125685619401e+00,2.811867903254930412e-01,6.090109577769379223e-01,4.566556986015574455e-25,1.664467121022065399e+00,0.000000000000000000e+00
1.182824788850410425e+00,2.812744076728088682e-01,6.007657542330149258e-01,3.590265529267916057e-25,1.653037420008784730e+00,0.000000000000000000e+00
1.178985132218600906e+00,2.813627759019619035e-01,5.925547773115732442e-01,6.395549744405276394e-26,1.641576592564676806e+00,0.000000000000000000e+00
1.175137034585864049e+00,2.814518975316147031e-01,5.843784820413688852e-01,9.675589228525347418e-26,1.630084631743458523e+00,0.000000000000000000e+00
1.171280367811164069e+00,2.815417748129209752e-01,5.762373277841005281e-01,8.678790872096567969e-26,1.618561534676627334e+00,0.000000000000000000e+00
1.167414996435448105e+00,2.816324097116844061e-01,5.681317782722972165e-01,3.060390803135145295e-25,1.607007302755931732e+00,0.000000000000000000e+00
1.163540777279087779e+00,2.817238038895588659e-01,5.600623016476635740e-01,4.354161867264949193e-25,1.595421941824346934e+00,0.000000000000000000e+00
1.159657559016805228e+00,2.818159586842323150e-01,5.520293704999453821e-01,2.132787798445643744e-25,1.583805462376076889e+00,0.000000000000000000e+00
1.155765181728749535e+00,2.819088750885380690e-01,5.440334619063816879e-01,2.479239955887200608e-25,1.572157879766129751e+00,0.000000000000000000e+00
1.151863476426296717e+00,2.820025537284333028e-01,5.360750574718242678e-01,9.899688880071426750e-26,1.560479214430066763e+00,0.000000000000000000e+00
1.147952264551050927e+00,2.820969948397741289e-01,5.281546433696059362e-01,4.643971713371866332e-25,1.548769492114565161e+00,0.000000000000000000e+00
1.144031357445440600e+00,2.821921982438237997e-01,5.202727103832580635e-01,3.826966534990753112e-25,1.537028744119490531e+00,0.000000000000000000e+00
