kappa,F_min,omega_min,abs_X1,bound_2z1_Om_absX1,lock_sqrt_m4k_3knl
1.000000000000000056e-01,2.098857545879268677e-02,1.048134282472377166e+00,6.672640808393133227e-01,2.098147075770311759e-02,6.666666666666667407e-01
8.999999999999999667e-02,1.981529822184330963e-02,1.043395819059002916e+00,6.328186393714715363e-01,1.980840967628400701e-02,6.324555320336758824e-01
8.000000000000000167e-02,1.859053048464865202e-02,1.038670337355646955e+00,5.964292346632229513e-01,1.858480063129260007e-02,5.962847939999439406e-01
7.000000000000000666e-02,1.730356192808867738e-02,1.033979024541699321e+00,5.577179003039697269e-01,1.730005831577229730e-02,5.577733510227170788e-01
5.999999999999999778e-02,1.594016620376859789e-02,1.029067540432805572e+00,5.161622710438155126e-01,1.593497516181811152e-02,5.163977794943221955e-01
5.000000000000000278e-02,1.447753860261045446e-02,1.024244003712337259e+00,4.710167583763850141e-01,1.447308271245105471e-02,4.714045207910317337e-01
4.000000000000000083e-02,1.288243028844849800e-02,1.019431501029461895e+00,4.211307836334857169e-01,1.287941960667593651e-02,4.216370213557839586e-01
