N,omega_star,beta1_star,abs_X3,abs_X1,cond_J
5.000000000000000000e+00,2.596998460131597630e-01,2.381561342074974830e-01,1.609684506794428902e-25,2.923527926854211922e-01,7.790150621674365539e+03
6.000000000000000000e+00,2.596998460131541564e-01,2.381561342074969834e-01,3.486305596842098990e-32,2.923527926854203596e-01,7.790150621665326980e+03
7.000000000000000000e+00,2.597280970367746300e-01,2.381542763447577205e-01,1.198937410715338523e-31,2.923570214800639833e-01,1.085039886905779713e+04
8.000000000000000000e+00,2.597280970367745745e-01,2.381542763447580258e-01,1.815929458050410483e-17,2.923570214800639833e-01,1.579963259000916514e+04
