F,k5_star,omega_fold,beta1_fold,abs_X1,abs_X3
2.800000000000000266e-01,6.996847244857140602e-02,2.562156375090605676e-01,2.322930177113464723e-01,2.723993675751510968e-01,0.000000000000000000e+00
2.999999999999999889e-01,1.101817115477938119e-01,2.558132245304972074e-01,2.303476806154753365e-01,2.918157147859161138e-01,0.000000000000000000e+00
3.200000000000000067e-01,1.367070689852069865e-01,2.554074626295473327e-01,2.287380227934564525e-01,3.112272142030481636e-01,0.000000000000000000e+00
3.400000000000000244e-01,1.540861594370913079e-01,2.550701132323108800e-01,2.273826599777946378e-01,3.306460872906401560e-01,0.000000000000000000e+00
3.599999999999999867e-01,1.653212469647145078e-01,2.545905780139444685e-01,2.262716455143655714e-01,3.500365411577766039e-01,0.000000000000000000e+00
4.000000000000000222e-01,1.760760755535135669e-01,2.538096235286311231e-01,2.245454444388634008e-01,3.888361064511721144e-01,0.000000000000000000e+00
4.500000000000000111e-01,1.778050816489004371e-01,2.523535186950661702e-01,2.231923751620906171e-01,4.372062307841774187e-01,0.000000000000000000e+00
