g0,kappa_es,kappa_mech,cancel_fraction,k5,dmax_over_g0,d_pullin,pullin_margin
8.000000000000000444e-01,9.600000000000001588e-02,1.960000000000000075e-01,1.041666666666666519e+00,-7.031250000000000000e-01,3.478008209110597382e-01,2.817757397437244404e-01,1.012705127483657597e+00
1.000000000000000000e+00,1.499999999999999944e-01,2.500000000000000000e-01,6.666666666666667407e-01,-4.499999999999999556e-01,2.782406567288477905e-01,2.967070038864117465e-01,1.066368256079699650e+00
1.500000000000000000e+00,3.374999999999999667e-01,4.375000000000000000e-01,2.962962962962963354e-01,-1.999999999999999833e-01,1.854937711525651844e-01,3.149718065150775570e-01,1.132012158891736453e+00
2.000000000000000000e+00,5.999999999999999778e-01,6.999999999999999556e-01,1.666666666666666852e-01,-1.124999999999999889e-01,1.391203283644238953e-01,3.225022427751991771e-01,1.159076630161512966e+00
3.000000000000000000e+00,1.349999999999999867e+00,1.449999999999999956e+00,7.407407407407408384e-02,-4.999999999999999584e-02,9.274688557628259222e-02,3.283427435670754346e-01,1.180067454653305203e+00
4.000000000000000000e+00,2.399999999999999911e+00,2.500000000000000000e+00,4.166666666666667129e-02,-2.812499999999999722e-02,6.956016418221194764e-02,3.304891568221414166e-01,1.187781687649663187e+00
