rtol,atol,omega_ode,beta1_ode,abs_X3
9.999999999999999395e-12,1.000000000000000030e-13,2.597280972980870462e-01,2.381542765232165793e-01,3.989109695846873446e-16
9.999999999999999799e-13,9.999999999999999988e-15,2.597280973022869088e-01,2.381542765234311021e-01,2.863712702846411554e-16
1.000000000000000030e-13,1.000000000000000078e-15,2.597280973027698558e-01,2.381542765234326564e-01,1.988510728427192358e-16
