kappa,F,omega,beta1,abs_X3,cond_J,max_abs_d,min_tangent_K,on_family
1.449999999999999900e-01,3.200000000000000067e-01,2.623573133451793660e-01,2.094679361200210421e-01,1.677397521683920029e-26,9.318384563312929458e+03,2.785496599893137470e-01,7.516907822785393045e-02,1.000000000000000000e+00
1.499999999999999944e-01,3.200000000000000067e-01,2.625757922856203908e-01,2.064259353416268428e-01,4.660270549900303995e-31,1.051631968434130249e+04,2.766212556207226503e-01,8.113261284493333836e-02,1.000000000000000000e+00
1.600000000000000033e-01,3.200000000000000067e-01,2.627836330948406518e-01,2.006394712592068919e-01,9.038156230280451799e-19,2.126859230077834945e+04,2.728670956386959334e-01,9.298919330593249932e-02,1.000000000000000000e+00
1.799999999999999933e-01,3.400000000000000244e-01,2.648462274883363610e-01,1.903826706044643990e-01,7.143131467045553877e-18,1.534263879586936673e+04,2.827485792373639062e-01,1.080479168453269273e-01,1.000000000000000000e+00
2.000000000000000111e-01,3.599999999999999867e-01,2.669532614390172087e-01,1.806722722124831926e-01,8.546340848987379063e-18,1.158094333354257651e+04,2.921646565439027232e-01,1.231758321199250411e-01,1.000000000000000000e+00
2.399999999999999911e-01,4.000000000000000222e-01,2.712519099726160010e-01,1.627706648575082127e-01,1.013380590751219807e-17,7.440346054373464540e+03,3.097290488632148397e-01,1.536611246612594461e-01,1.000000000000000000e+00
