zeta2,Q2,omega_star,beta1_star,absX1,absX3,A5_over_X1,A7_over_X1,d5_over_X1,linewidths,floquet_radius,arg_xi_lo,im_eta3,im_eta5,aug_residual,beta1_src1,beta1_src13,beta1_src135,mag_removed_3,mag_removed_5,alpha_pole,det_err
2.560000000000000426e-04,2.441406249999999545e+03,2.648623991223864604e-01,2.378518240349957735e-01,2.931348389425356693e-01,6.274117345985754002e-29,2.330104727587907943e-04,6.904959646487653283e-06,1.115450504970485817e-03,4.153709448991618558e+01,nan,5.949273923358459583e-05,-1.793368881232047110e-05,-4.250226076067105890e-05,1.820781187952550442e-17,2.305053522438676450e-01,2.385089631716710845e-01,2.378517028026493063e-01,9.105411453964074031e-01,9.998155324694154578e-01,6.803736209563537862e-04,nan
2.048000000000000449e-04,3.051757812499999545e+03,2.656482698646319141e-01,2.378443419193548292e-01,2.932548787886525843e-01,5.516358037857902338e-29,2.234786488267165197e-04,6.306647034091608351e-06,1.037567576227737490e-03,5.104368740256000336e+01,nan,4.800508092131642636e-05,-1.472893958318995544e-05,-3.406731347701947964e-05,3.562970279190262941e-17,2.304112370605467808e-01,2.384505510228253633e-01,2.378442283776866506e-01,9.184383397650199843e-01,9.998127283333917426e-01,6.306381598074617401e-04,nan
1.638400000000000576e-04,3.814697265624998636e+03,2.665863558441220471e-01,2.378245236195158929e-01,2.933989660057801374e-01,2.569244191046491036e-28,2.137407761099193023e-04,5.707491864797529921e-06,9.593706065493273370e-04,6.241947020000863944e+01,nan,3.880218463675077936e-05,-1.214380265692980669e-05,-2.732529405559495431e-05,3.408719361609912849e-17,2.302976778509612799e-01,2.383797056727103014e-01,2.378244181399053747e-01,9.262353327454120322e-01,9.998100407499708187e-01,5.908497280193714118e-04,nan
1.310720000000000624e-04,4.768371582031248181e+03,2.676985036896978865e-01,2.377890548821157968e-01,2.935708538463316364e-01,2.250757863293830323e-29,2.039716710091809204e-04,5.120646700369977365e-06,8.825363460381557661e-04,7.592098050741854820e+01,nan,3.142597294637106418e-05,-1.005496813638111560e-05,-2.193609246635439214e-05,2.246598117093867836e-17,2.301613025049404349e-01,2.382942325273839368e-01,2.377889576517778492e-01,9.337680161876449336e-01,9.998075674541133662e-01,5.590189422609026515e-04,nan
1.048576000000000580e-04,5.960464477539058862e+03,2.690075900246808871e-01,2.377344706406655239e-01,2.937745958304402438e-01,1.438046344273918467e-25,1.943326343432079210e-04,4.557788656191219534e-06,8.085614920797645896e-04,9.181202178297587579e+01,nan,2.551017933574372228e-05,-8.364068035038526742e-06,-1.762756898226248189e-05,2.202687519333632880e-17,2.299982992775405910e-01,2.381916611682117213e-01,2.377343816547481947e-01,9.409000546072826543e-01,9.998054002762832848e-01,5.335542877966115149e-04,nan
1.000000000000000048e-04,6.250000000000000000e+03,2.693134734178574408e-01,2.377200661714087837e-01,2.938224175048044229e-01,4.633082680724940101e-26,1.923140155265301641e-04,4.442172087817598208e-06,7.933263367364001709e-04,9.552328438293149304e+01,9.925215202710868656e-01,2.441187388635308942e-05,-8.048141779155613620e-06,-1.682942272403922188e-05,2.146191424773994062e-17,2.299598186801480038e-01,2.381673961371949255e-01,2.377199789197495250e-01,9.423542105984608064e-01,9.998049869569159975e-01,5.288356151674777905e-04,1.725453113721187037e-12
8.000000000000000654e-05,7.812499999999999091e+03,2.708930813735253018e-01,2.376374886796749630e-01,2.940706408977485919e-01,9.789702303163906918e-28,1.830137581777987186e-04,3.920646179219394353e-06,7.244046337734386760e-04,1.146707545172559009e+02,nan,1.988006592297723407e-05,-6.736053371551805671e-06,-1.354366952102007839e-05,3.152179184068531754e-17,2.297586844580025434e-01,2.380403231298759970e-01,2.376374094261468617e-01,9.488696934617618650e-01,9.998032973216484098e-01,5.094076068803965462e-04,nan
6.400000000000001066e-05,9.765624999999998181e+03,2.727224983625498589e-01,2.375276834666428249e-01,2.943607309451190535e-01,5.915574053690980677e-27,1.741070957883043499e-04,3.439976202976193994e-06,6.605468766322869717e-04,1.368009749829640782e+02,nan,1.623876615818305538e-05,-5.669194678298547178e-06,-1.091480409520573098e-05,1.870663038969392170e-17,2.295205611738972418e-01,2.378894834872061215e-01,2.375276118428282512e-01,9.548142128947602059e-01,9.998020712121041820e-01,4.938651905904978268e-04,nan
5.120000000000001124e-05,1.220703124999999818e+04,2.748261986914664057e-01,2.373866435422344601e-01,2.946977241226628741e-01,4.084994070756270681e-26,1.656662587159179610e-04,3.003302301964422703e-06,6.021970404770486413e-04,1.621825359386622551e+02,nan,1.330996808786962459e-05,-4.799922437503878257e-06,-8.810388182239470691e-06,1.613024413976088187e-17,2.292396215341180599e-01,2.377111457022293983e-01,2.373865790697718692e-01,9.601685091627459867e-01,9.998013541530668125e-01,4.814312513712337704e-04,nan
5.000000000000000240e-05,1.250000000000000000e+04,2.750669313086697154e-01,2.373696393959179585e-01,2.947365182380606297e-01,7.994277803291274500e-26,1.647986938254015544e-04,2.959526982280030829e-06,5.963277473582728272e-04,1.650824239415774173e+02,9.938347642728797560e-01,1.303442211804442779e-05,-4.717503128140236106e-06,-8.612978687806066024e-06,9.759015535987387396e-16,2.292069745913249412e-01,2.376904017437599381e-01,2.373695756521219946e-01,9.607030263276031823e-01,9.998013092348350117e-01,4.802655692866808490e-04,1.726729870199505967e-12
4.000000000000000327e-05,1.562499999999999818e+04,2.775028959614160295e-01,2.371888642027766281e-01,2.951317331377318887e-01,1.338951252134614586e-27,1.569284972904329799e-04,2.572292261754426527e-06,5.442360754300400606e-04,1.943745112941919899e+02,nan,1.072961380464991254e-05,-4.022866936703337592e-06,-6.966529027808650996e-06,2.903442303029920721e-17,2.288706880938209676e-01,2.374765419583478587e-01,2.371888069998072668e-01,9.654152689446247049e-01,9.998011898268911457e-01,4.705515500374735094e-04,nan
3.200000000000000533e-05,1.953124999999999636e+04,2.802655961881747038e-01,2.369667628600173326e-01,2.955858093788865659e-01,1.975838237742065542e-27,1.496055136511141841e-04,2.228417651834985063e-06,4.977081909954284835e-04,2.274874738221813288e+02,nan,8.871396572815373551e-06,-3.454672024819246337e-06,-5.646614594279284198e-06,3.457798252841021433e-17,2.284757595050862233e-01,2.372250694293949747e-01,2.369667116107739280e-01,9.695784387480077537e-01,9.998016274571692730e-01,4.627803322188317470e-04,nan
2.560000000000000562e-05,2.441406249999999636e+04,2.833804944341175025e-01,2.366971886981420747e-01,2.961052499719878384e-01,1.761007410510729997e-27,1.428493414636367856e-04,1.925311486354126651e-06,4.565024553731189473e-04,2.646975895962300456e+02,nan,7.371634373830477617e-06,-2.989373414945514963e-06,-4.587584716887133985e-06,2.292233275039186581e-17,2.280122675703151192e-01,2.369296399774225015e-01,2.366971428115967613e-01,9.732348200462849208e-01,9.998026277573884846e-01,4.565633564140580969e-04,nan
2.048000000000000720e-05,3.051757812499998909e+04,2.868734882790955898e-01,2.363726218102522036e-01,2.966972303208166850e-01,1.155180684116083787e-27,1.366762865960994362e-04,1.659606233526321726e-06,4.202961266891097939e-04,3.062872476106202271e+02,nan,6.160118379314760378e-06,-2.608272327357970278e-06,-3.737084148289550023e-06,1.279314807257223561e-17,2.274680709489839692e-01,2.365824771717436881e-01,2.363725807124266998e-01,9.764326161242398161e-01,9.998041902764795985e-01,4.515897747773556237e-04,nan
1.638400000000000780e-05,3.814697265624998545e+04,2.907708324425615221e-01,2.359836723582560691e-01,2.973696997561368627e-01,6.653107817035119645e-28,1.311048568101105154e-04,1.427547248088851815e-06,3.887382707407138283e-04,3.525448260284529169e+02,nan,5.180960515549819305e-06,-2.296577413767969913e-06,-3.053351574779451312e-06,2.817405178383148191e-17,2.268281080094842472e-01,2.361739104620213803e-01,2.359836355064398594e-01,9.792214578428515281e-01,9.998063135049212180e-01,4.476109088330515462e-04,nan
1.310720000000000725e-05,4.768371582031247090e+04,2.950988280330844593e-01,2.355184314908656817e-01,2.981314611531037939e-01,1.681120010774012648e-27,1.261605408640591858e-04,1.225266880339418884e-06,3.614900805731246255e-04,4.037616044905801687e+02,nan,4.389723590654730107e-06,-2.042671007412560433e-06,-2.503058625055280292e-06,2.822684871187387673e-17,2.260734587657269312e-01,2.356917518782281618e-01,2.355183983823856408e-01,9.816493648450210774e-01,9.998090016408688330e-01,4.444278156710834704e-04,nan
1.048576000000000614e-05,5.960464477539058862e+04,2.998831393298559411e-01,2.349616037290171155e-01,2.989922016831207396e-01,3.907436697697652591e-28,1.218803307433924637e-04,1.048952310513857667e-06,3.382546562806330458e-04,4.602241045390790646e+02,nan,3.751148966381741157e-06,-1.837548783935734045e-06,-2.059581364788203434e-06,3.331969345619072602e-17,2.251800786867174387e-01,2.351204462378610749e-01,2.349615739062341502e-01,9.837609024284579284e-01,9.998122745319583116e-01,4.418813408809396659e-04,nan
1.000000000000000082e-05,6.249999999999999272e+04,3.009612535751094442e-01,2.348296519515604974e-01,2.991889087182539875e-01,1.933948169962692130e-27,1.210607860807541152e-04,1.014467322044249879e-06,3.338091786663813470e-04,4.729282646470651912e+02,9.953472880361884378e-01,3.632314331375680221e-06,-1.799549800475090093e-06,-1.976968251177793071e-06,2.678061545115739200e-17,2.249695135960715353e-01,2.349857089603779037e-01,2.348296227727502405e-01,9.841728793761158611e-01,9.998130496040441573e-01,4.414094721141570421e-04,1.684319350658824987e-12
8.000000000000001332e-06,7.812499999999998545e+04,3.063304702566195803e-01,2.341345689687037712e-01,3.001838349057674438e-01,2.213710575387057787e-27,1.176594641277583814e-04,8.647124532660060613e-07,3.151352864142078049e-04,5.361068708174140056e+02,nan,3.142065855265385874e-06,-1.644649047924522523e-06,-1.634850623618207779e-06,2.438171949998404016e-17,2.238656532939267696e-01,2.342788034727610047e-01,2.341345425854146067e-01,9.859542194373099866e-01,9.998171044196074719e-01,4.394666658422974326e-04,nan
6.400000000000001404e-06,9.765624999999998545e+04,3.122031314319460016e-01,2.332954186621509496e-01,3.013017872386034024e-01,1.171731070687859548e-28,1.150711627483819334e-04,7.329438044360875863e-07,3.000737050257016496e-04,6.050625476427725289e+02,nan,2.750780098922678075e-06,-1.526077789085044322e-06,-1.357957499476617867e-06,3.778077240412870228e-17,2.225420828089529346e-01,2.334298169734546902e-01,2.332953947274001294e-01,9.875016804983762775e-01,9.998219345263517077e-01,4.379124207276874348e-04,nan
5.120000000000001801e-06,1.220703124999999563e+05,3.185900827299756322e-01,2.322754497377926552e-01,3.025539995987513442e-01,4.580604088606726992e-27,1.134099678181793965e-04,6.156511268493187108e-07,2.886032063626736005e-04,6.799180722966483472e+02,nan,2.442507969316258296e-06,-1.441185205557459143e-06,-1.133072075465733050e-06,9.706975148243671067e-18,2.209431141264887322e-01,2.324018615266528476e-01,2.322754279632860686e-01,9.888450162937593158e-01,9.998277708668102948e-01,4.366690245740656451e-04,nan
5.000000000000000409e-06,1.249999999999999854e+05,3.192992213302658366e-01,2.321545186745083145e-01,3.026954249828291976e-01,2.766483899725821872e-27,1.132939680861434767e-04,6.038872473100193086e-07,2.875984001687537854e-04,6.882216562225801226e+02,9.958251231031961526e-01,2.414099428680491805e-06,-1.434092839443615640e-06,-1.111762323938508383e-06,3.432329990054690030e-17,2.207541374951578206e-01,2.322801862515267990e-01,2.321544971154636261e-01,9.889768773863593099e-01,9.998284651783840848e-01,4.365524561818490135e-04,1.589506304355836619e-12
4.000000000000000666e-06,1.562499999999999709e+05,3.262522241711093840e-01,2.308763954447951294e-01,3.041081439919813834e-01,3.942958682716731289e-27,1.128457389555968891e-04,4.983122316421976825e-07,2.802371066444771242e-04,7.695694438463193592e+02,nan,2.183989391892114924e-06,-1.385680097875804789e-06,-9.318516575187693504e-07,3.350465701208391728e-17,2.187637437862944290e-01,2.309960217326237075e-01,2.308763758131570365e-01,9.901238430431336113e-01,9.998359116139982072e-01,4.355810528941239657e-04,nan
3.200000000000000702e-06,1.953124999999999709e+05,3.336925709920718908e-01,2.292930499143120138e-01,3.056740705363322208e-01,1.601127385499377277e-15,1.137319540434542764e-04,3.988927178389744376e-07,2.768990897352858723e-04,8.565046836744674010e+02,nan,2.016135513327399015e-06,-1.372007326450258630e-06,-7.830543520024603907e-07,1.775601955836353825e-14,2.163141991064368441e-01,2.294083583094549683e-01,2.292930321114119152e-01,9.911156610017007873e-01,9.998456229387325811e-01,4.348039302398964967e-04,nan
2.560000000000000901e-06,2.441406249999999127e+05,3.415693046678049960e-01,2.273100690741383101e-01,3.073964005414370204e-01,2.328574094383591792e-24,1.162707814131680141e-04,3.002782654509715567e-07,2.781082324651818166e-04,9.484387905899922089e+02,nan,1.906259952001705986e-06,-1.397886517871587053e-06,-6.572723680352882089e-07,1.298977804163476965e-15,2.132703082258041449e-01,2.274228054760784323e-01,2.273100531744516040e-01,9.919701992247093036e-01,9.998589787931844164e-01,4.341822321006494345e-04,nan
2.048000000000000975e-06,3.051757812499998836e+05,3.497931992877580942e-01,2.247981594183985077e-01,3.092706890164798605e-01,9.310325884298982861e-28,1.209057989913876952e-04,1.950590918416881552e-07,2.846886219435292931e-04,1.044340653318542991e+03,nan,1.853793845472618289e-06,-1.472481660142123923e-06,-5.465240414146631204e-07,3.370901590969067643e-17,2.094524511998091809e-01,2.249101474687207336e-01,2.247981458005035571e-01,9.927023176287913531e-01,9.998784036330073954e-01,4.336848735800591381e-04,nan
1.999999999999999909e-06,3.125000000000000000e+05,3.506826809397066147e-01,2.244932624246747943e-01,3.094783495776675664e-01,6.011517755379246478e-28,1.215452976681541121e-04,1.830739951099431267e-07,2.857501238378503815e-04,1.054708980256073346e+03,9.964475945231983101e-01,1.851709129770920862e-06,-1.483850983867485042e-06,-5.352804198889320646e-07,1.853134526137067731e-17,2.089919495304406460e-01,2.246052829622663394e-01,2.244932490914001988e-01,9.927734773227534504e-01,9.998809784409067314e-01,4.336382462180876640e-04,1.309952146755222202e-12
