f,Om_N7,Om_N9,Om_N13,b1_N7,b1_N9,b1_N13,X3_N7,X3_N9,X3_N13
1.000000000000000000e+00,2.597280970367724651e-01,2.597280972469276916e-01,2.597280973028177065e-01,2.381542763447584699e-01,2.381542765286402130e-01,2.381542765234499481e-01,2.005709714693069045e-31,2.858484921287202772e-31,3.104884366646181391e-32
1.000000000000000000e+01,2.613513278656494077e-01,2.613513282501708224e-01,2.613513283089575201e-01,2.376997646206694681e-01,2.376997647277201420e-01,2.376997647222117149e-01,1.797113359066294226e-17,8.371680864355233246e-18,7.495651749655855742e-18
1.000000000000000000e+02,2.613653172945235581e-01,2.613653176801464251e-01,2.613653177391309090e-01,2.376957733135126039e-01,2.376957734200015326e-01,2.376957734145122292e-01,6.107171055192959498e-18,2.489174737703028801e-18,8.846683593411041922e-32
1.000000000000000000e+03,2.613654570231058738e-01,2.613654574080014337e-01,2.613654574688811794e-01,2.376957334411325118e-01,2.376957335475266830e-01,2.376957335422662521e-01,9.873149698175435840e-31,1.766481085371371482e-17,1.958977624667148306e-17
1.000000000000000000e+04,2.613654584023657468e-01,2.613654587988047950e-01,2.613654588653471778e-01,2.376957330402181545e-01,2.376957331480187285e-01,2.376957331434490506e-01,4.746666477387000669e-18,1.247063626046178872e-17,1.875400381441301340e-17
