f,Q2,omega_star,beta1_star,absX3,floquet_radius,abel_liouville_err,detJ_Om_b1,condJ_Om_b1,detJ_Om_V2,condJ_Om_V2
1.000000000000000000e+00,3.125000000000000000e+01,2.614213328527336122e-01,2.470139091429681133e-01,3.969497916746494275e-25,6.960831056638024927e-01,4.052314039881821373e-15,-3.305732689360849438e-05,5.169556331559466145e+00,2.449021130624774178e-05,3.830388028203846496e+00
1.000000000000000000e+04,3.125000000000000000e+05,2.626477740290634744e-01,2.466638353844071430e-01,4.976459963284559258e-27,9.999639415936291131e-01,2.364775042451583431e-14,-4.183256791311802011e-09,4.281348627631790441e+04,3.122706690522158386e-09,3.261056535603963857e+04
