F,Omega,beta1,absX1_over_F,absX3
2.999999999999999889e-01,1.250732269774271099e+00,-4.532686349299871326e-02,1.793528163140534204e+00,1.556813367171699222e-31
1.000000000000000056e-01,1.248639383521292334e+00,-2.594566933537645684e-02,1.840785415398173308e+00,1.011744708279964993e-30
5.000000000000000278e-02,1.248531835265552781e+00,-2.513630759518909602e-02,1.843404498072857445e+00,3.863330832520528206e-30
1.000000000000000021e-02,1.248498817495004021e+00,-2.489124282703254407e-02,1.844212502677591070e+00,9.053474379246648844e-25
1.000000000000000021e-03,1.248497469205603005e+00,-2.488126995913163969e-02,1.844245536429272470e+00,9.093490857827612207e-24
