kappa,F_turn_family,omega_turn,beta1_turn,F_min_global,omega_min_global,abs_X1_global,max_abs_X3,hit_cap
1.000000000000000056e-01,2.577409313963683335e-01,2.565591605615565318e-01,2.349981681196237626e-01,2.098857545879268677e-02,1.048134282472377166e+00,6.672640808393133227e-01,1.027833651627700630e-17,0.000000000000000000e+00
8.999999999999999667e-02,2.469378437206608823e-01,2.557559614075480270e-01,2.412221678122467849e-01,1.981529822184330963e-02,1.043395819059002916e+00,6.328186393714715363e-01,1.392442586552099297e-18,0.000000000000000000e+00
8.000000000000000167e-02,2.357016540878493771e-01,2.549413799609852593e-01,2.476061872936841657e-01,1.859053048464865202e-02,1.038670337355646955e+00,5.964292346632229513e-01,6.893336207035409955e-23,0.000000000000000000e+00
7.000000000000000666e-02,2.239144949609566115e-01,2.542193343763705649e-01,2.541229872053065719e-01,1.730356192808867738e-02,1.033979024541699321e+00,5.577179003039697269e-01,5.852383902100805781e-23,0.000000000000000000e+00
5.999999999999999778e-02,2.113349835097184937e-01,2.533780171160751604e-01,2.608010426497401335e-01,1.594016620376859789e-02,1.029067540432805572e+00,5.161622710438155126e-01,1.528664686097201396e-17,0.000000000000000000e+00
5.000000000000000278e-02,1.977374892584965183e-01,2.526016332091834959e-01,2.675912777266269416e-01,1.447753860261045446e-02,1.024244003712337259e+00,4.710167583763850141e-01,1.403587692670783907e-23,0.000000000000000000e+00
4.000000000000000083e-02,1.826326016609255420e-01,2.518913034319856803e-01,2.744678334201489101e-01,1.288243028844849800e-02,1.019431501029461895e+00,4.211307836334857169e-01,4.953174967594513676e-18,0.000000000000000000e+00
