delta,npts,kappa_star_fit,amplitude,exponent,rms,amplitude_fixed,exponent_fixed,rms_fixed
4.000000000000000083e-02,9.000000000000000000e+00,1.426620030499614056e-01,5.934295531778110283e-02,6.438207734490809520e-01,5.064401603103397469e-05,4.109773005644929561e-02,5.467996265805078471e-01,1.372129825630928461e-04
2.000000000000000042e-02,7.000000000000000000e+00,1.420903822121663551e-01,4.350915934014992770e-02,5.672572267491839959e-01,1.210640528417339944e-05,3.665665504079616138e-02,5.274470969467324188e-01,3.342667552285355129e-05
1.000000000000000021e-02,5.000000000000000000e+00,1.419497318367021477e-01,3.786170906231770689e-02,5.376018123163355256e-01,2.570498831558734156e-06,3.408470931157361883e-02,5.157560490937271869e-01,9.597186971396679561e-06
5.000000000000000104e-03,4.000000000000000000e+00,1.419123545834254374e-01,3.582827416170066004e-02,5.268264460822424944e-01,6.159183667545239536e-07,3.300827262429591874e-02,5.107791711272976487e-01,3.958103105168634936e-06
