omega_star,beta1_star,omega_minus,omega_plus,dev_percent,linewidths,sigma_ratio,gain_relative,A5_over_X1,abs_X3
2.597280970367695785e-01,2.381542763447589695e-01,1.040553291087732424e+00,1.296051252229821760e+00,1.997785928273598799e-01,1.304037778350295718e-01,9.156813274719221241e+00,9.815734305272844296e+00,2.869438560396010284e-04,1.205552808076538300e-24
2.515208688156134187e-01,2.402218673595587772e-01,1.040553291087732424e+00,1.296051252229821760e+00,-2.966465105882798436e+00,1.936334875264524191e+00,4.665791995998820774e+00,4.413995943715525172e+00,1.286595104892594417e-04,6.563398583010631680e-28
2.694626377489118818e-01,2.425561827221270894e-01,1.042017033875533016e+00,1.343205308623084626e+00,3.058266740834758579e-01,2.064142626072791309e-01,7.908111209787644924e+00,8.508963468254259865e+00,2.197354732899392050e-04,4.624544622534616527e-29
2.792699175260633382e-01,2.465394907263126767e-01,1.043080312829198775e+00,1.390857095818308631e+00,3.948997944160925755e-01,2.756002115632049110e-01,6.702902564672887031e+00,7.296281076160296308e+00,1.734504063559921642e-04,3.134283740673976808e-30
2.453616156623049382e-01,2.306264658587552085e-01,1.036979656624116286e+00,1.226905942502411584e+00,-7.976503128459544456e-03,4.964441771276287621e-03,1.104066701901845349e+01,1.207500149292173042e+01,4.641135135594505468e-04,6.406647220325040559e-25
2.316411348384798119e-01,2.217247932271620980e-01,1.029563014098700213e+00,1.161895003862225551e+00,-3.175269415534920370e-01,1.910555677161420163e-01,1.268804033110125040e+01,1.494265102120110456e+01,8.749543689287170561e-04,7.043963450026428746e-25
2.632152048145532941e-01,2.151759793749174199e-01,1.037909302650654952e+00,1.314572714735998904e+00,1.143572599610287455e-01,7.582808071511649983e-02,8.692788345337431721e+00,1.207178614542478634e+01,3.950841563107005761e-04,1.052505237671462290e-28
2.708667241626944722e-01,1.665941846062619358e-01,1.032709278697677924e+00,1.358680074812213423e+00,-3.199026819718286951e-01,2.196842655626173868e-01,7.489255121134006821e+00,1.541090632769156699e+01,5.952668757865283702e-04,3.655884001992518140e-27
2.544612260198536591e-01,2.677586790538907247e-01,1.044233149743528655e+00,1.273607918072398482e+00,-1.022126161951408818e-01,6.538390891991109621e-02,1.003933611245401458e+01,6.150945846991786148e+00,1.374872801067704268e-04,7.314196058485741208e-25
