force,omega,beta1,abs_X1,abs_X3
5.218566184225370552e-01,1.482917388058712649e-01,2.733587584233606038e-01,4.857234114347088183e-01,1.347224849626991954e-26
5.202704338299261044e-01,1.484940391941781401e-01,2.730537138943586184e-01,4.842906343320441120e-01,3.157080923810812674e-26
5.191376884010209247e-01,1.486557191382273380e-01,2.728363471851847910e-01,4.832695459933207260e-01,1.316043299819620394e-26
5.183289717098369387e-01,1.487876126817249400e-01,2.726813176106526182e-01,4.825426573227948324e-01,6.019589469923240658e-27
5.177518683196397076e-01,1.488968813379525358e-01,2.725706976138920212e-01,4.820259359915587960e-01,3.065476077017574552e-26
5.173403815633349501e-01,1.489885480333930645e-01,2.724917681238479550e-01,4.816593328165147403e-01,1.574684762505718479e-26
5.170473900844343440e-01,1.490663183787343526e-01,2.724354876100801293e-01,4.813999752322306591e-01,1.542740831965823980e-27
5.168392699300655702e-01,1.491330524472372909e-01,2.723954222808523395e-01,4.812172930897254952e-01,1.403936734194811470e-26
5.166920678791009358e-01,1.491910564113373694e-01,2.723669957997428281e-01,4.810895412781751035e-01,5.152313950676631115e-26
5.165887955518031482e-01,1.492422792491777395e-01,2.723469640674634484e-01,4.810013379607968043e-01,5.667280235347911837e-26
5.165175553869642000e-01,1.492884541437490276e-01,2.723330538965564318e-01,4.809419595812676196e-01,9.111436114725068209e-26
5.164703339733210941e-01,1.493311545424703957e-01,2.723237316808282960e-01,4.809042380282119722e-01,1.817831861157283805e-26
5.164423702915160730e-01,1.493713824509896038e-01,2.723180863233806703e-01,4.808839235265428003e-01,3.578462402022185386e-25
5.164543069074406523e-01,1.494909494974463737e-01,2.723193695330555220e-01,4.809111180891995074e-01,2.068632021403165380e-26
5.166443967088918399e-01,1.496293872094136279e-01,2.723544263851183644e-01,4.811050150702886885e-01,2.102189164593626553e-26
5.172500785659586153e-01,1.498323945659230105e-01,2.724684447785555852e-01,4.816905771231154154e-01,1.431069989115741758e-25
5.208228902136918803e-01,1.504289369589185410e-01,2.731539088299600460e-01,4.850628943103398871e-01,3.621427691236847262e-26
5.280120620741243220e-01,1.512904850085851349e-01,2.745741303922226151e-01,4.917999380473428994e-01,1.072574419255291076e-27
5.347631300467456938e-01,1.521910809245218266e-01,2.759583532523833815e-01,4.981357141453480741e-01,6.007382942579119933e-29
5.395463951409076309e-01,1.530746986518188579e-01,2.769768807019910017e-01,5.026574285299046929e-01,3.435975938453113824e-28
5.429018145960939901e-01,1.540249532415419176e-01,2.777211968074412840e-01,5.058759043949077050e-01,1.119179982570476666e-27
5.451890483960042388e-01,1.551466961510999110e-01,2.782594231375313254e-01,5.081382702048570232e-01,4.697489217392558072e-27
5.465507106767494294e-01,1.567821366220007728e-01,2.786322587518101912e-01,5.096266755977978402e-01,3.755648772256822027e-25
5.465052568732644556e-01,1.586644635399927505e-01,2.787184409628901127e-01,5.098615535781380048e-01,1.721822648973136727e-25
5.453122805115122596e-01,1.607564744279972035e-01,2.785689314408950623e-01,5.090758277510445406e-01,4.350924612406944554e-25
5.386412893754153330e-01,1.660301424543298709e-01,2.774113329765647284e-01,5.037311677655587072e-01,7.409534708296828522e-29
5.314873925231622387e-01,1.691607718442708352e-01,2.760594725889279899e-01,4.976106003360272756e-01,2.447262288994676311e-28
5.242260365114619347e-01,1.712822168953561097e-01,2.746562551770821980e-01,4.912253001628131832e-01,1.360974653349311603e-28
5.169381207322865102e-01,1.728582473064403935e-01,2.732449751488205125e-01,4.847207246533509761e-01,1.056654398709767249e-24
5.096450151322647892e-01,1.741234332759106496e-01,2.718431478078370822e-01,4.781534390322029204e-01,2.071102719108677492e-25
5.023525131447617031e-01,1.752088638620545591e-01,2.704585001297780678e-01,4.715497524078455793e-01,7.666029871516536572e-26
4.960232766951048200e-01,1.760750234424146021e-01,2.692729154739197384e-01,4.657996192057487495e-01,3.532507152872520953e-26
4.915033225332137157e-01,1.766843599372097950e-01,2.684356146632449480e-01,4.616879841661744033e-01,7.743492578267277059e-26
4.882753081997050493e-01,1.771354503802042568e-01,2.678420243201226625e-01,4.587521321192276624e-01,2.865812952939816309e-26
4.859700389351860883e-01,1.774812064163467928e-01,2.674198927919801405e-01,4.566581863463838875e-01,1.021453507041136946e-25
4.843239739048114112e-01,1.777531759741699802e-01,2.671189613397776941e-01,4.551663898694408572e-01,3.651649295641092432e-26
4.831489577632890886e-01,1.779716149534443792e-01,2.669040297488072810e-01,4.541049879647604537e-01,2.024066898083163044e-26
4.823106527095715190e-01,1.781502976687437678e-01,2.667503049956156946e-01,4.533511307777562949e-01,5.838567049230283951e-26
4.817131665861197343e-01,1.782990755068342148e-01,2.666402495938020589e-01,4.528170704876087749e-01,1.601596421239954256e-26
4.812881070702528241e-01,1.784253806278321419e-01,2.665614229168262184e-01,4.524402558670241326e-01,1.386816472210944665e-26
4.809868233161237461e-01,1.785352442416116014e-01,2.665049922073549071e-01,4.521762904738713673e-01,2.412471234640372278e-26
4.807750185947892718e-01,1.786342285123651841e-01,2.664647115161006830e-01,4.519940713473023508e-01,3.352528230403127517e-25
4.806294253473147871e-01,1.787289894936788526e-01,2.664362706135078307e-01,4.518729397895017708e-01,1.175884894199796882e-24
4.805379296702239622e-01,1.788344746084632730e-01,2.664171091329986529e-01,4.518039160995537262e-01,1.181189206622582722e-25
4.805307424870747801e-01,1.789545773964567876e-01,2.664124892703490510e-01,4.518157862161727989e-01,5.762480370721193268e-27
4.806091439114327790e-01,1.790549939546236813e-01,2.664236254783893254e-01,4.519044456715379243e-01,5.578309952515131968e-26
4.823463442913294430e-01,1.795700489794742893e-01,2.667202187928273127e-01,4.536045683406382256e-01,8.562842895698717942e-26
4.895052691519378718e-01,1.803903137053705363e-01,2.680101339827102302e-01,4.604078813342619148e-01,1.766179686032887785e-25
4.966844849199411049e-01,1.810241385260432934e-01,2.693579814874619283e-01,4.671980849522728851e-01,2.485292512693957478e-28
5.038509355428457681e-01,1.817295077380143009e-01,2.707559000750947575e-01,4.739845179049331225e-01,5.118241045947503806e-29
5.105610153980928434e-01,1.826150082070855940e-01,2.721203472676653745e-01,4.803724299276261323e-01,3.600968506032744807e-29
5.153004615943574951e-01,1.835496731617158872e-01,2.731283204192651026e-01,4.849340240036595362e-01,3.833642144583221150e-28
5.186071754264809375e-01,1.845833863035561406e-01,2.738686131011075497e-01,4.881802489205570583e-01,2.577628069781186462e-27
5.208309177866008444e-01,1.858215381136641142e-01,2.744073141290903628e-01,4.904554155816472916e-01,8.240812803948308401e-28
5.220285040907061136e-01,1.880809263889897109e-01,2.747999706116096563e-01,4.919529721356530882e-01,1.085691133386174427e-25
5.214743545180280382e-01,1.897979173060067581e-01,2.747896710681484445e-01,4.917326895447362012e-01,1.988408890822184052e-25
5.183850617339166300e-01,1.930204765927587274e-01,2.743338143508918803e-01,4.894162824381562138e-01,7.080911611687052523e-26
5.114163580583516167e-01,1.971394370003112240e-01,2.731146021404678437e-01,4.836404853207291188e-01,2.094037315418085041e-27
5.042437469243676862e-01,2.000178411134924394e-01,2.717900747087459989e-01,4.774460842072561495e-01,1.136362943482434722e-27
4.970105609030511795e-01,2.021900030792203040e-01,2.704273056395010144e-01,4.710583492000424144e-01,1.619073016747565612e-28
4.897617371415632359e-01,2.039072046090606993e-01,2.690526529976627890e-01,4.645638227464587988e-01,1.002114894738952241e-28
4.825170018124237958e-01,2.053395053060849129e-01,2.676802781368440298e-01,4.580117850510901367e-01,2.213405508653550040e-24
4.762438030350137907e-01,2.064638671749622068e-01,2.664975169775193886e-01,4.523094527606201787e-01,1.262638163933124805e-24
4.717873695160789693e-01,2.072685102345348807e-01,2.656607900631001162e-01,4.482547531872648205e-01,3.162441792860691883e-28
4.686381338762490301e-01,2.079001460659785916e-01,2.650701452069656461e-01,4.453978195771935988e-01,2.192693081662302319e-27
4.664392745342930691e-01,2.084403666287333590e-01,2.646563778792986321e-01,4.434188698240484339e-01,1.090137147329952431e-26
4.649559428275988338e-01,2.089557506494184869e-01,2.643741237173825032e-01,4.421093032267256473e-01,1.397741781471820248e-24
4.641146010538102495e-01,2.098089900983510503e-01,2.642024424965255802e-01,4.414636211612327221e-01,1.129739968219105819e-25
4.658565793259856203e-01,2.109067317274547770e-01,2.645081040333298605e-01,4.433003760444438335e-01,9.866893409862776103e-27
4.689124568199202758e-01,2.118358841220381317e-01,2.650785490262753119e-01,4.463505863509219518e-01,1.617371600661612348e-28
4.734002921995325019e-01,2.130318560152580365e-01,2.659529722196837254e-01,4.508030704869899208e-01,1.592336143879066447e-24
4.765974408668738893e-01,2.139780360840648210e-01,2.666049847074435375e-01,4.539939161038841764e-01,3.263839639817974379e-25
4.788437733287772002e-01,2.147963026094755756e-01,2.670840533541966044e-01,4.562650737414811197e-01,1.001160856651126638e-24
4.803984497733823078e-01,2.155348691186148025e-01,2.674330321127795229e-01,4.578695861275726142e-01,1.023886440459790737e-24
4.814445789660682928e-01,2.162249226109802247e-01,2.676844111206460597e-01,4.589857889498345500e-01,1.683809526745659491e-24
4.821020984592156999e-01,2.168938081564545928e-01,2.678607622095622309e-01,4.597317984483166309e-01,5.110162531637308551e-25
4.824333318592053943e-01,2.175584285164499088e-01,2.679739364089128717e-01,4.601694643475316981e-01,4.398878040492087104e-25
4.818955521919419116e-01,2.194145977516178958e-01,2.680020446645935972e-01,4.600121470520127653e-01,5.311822276900222111e-26
4.802857373070458791e-01,2.208443594004227684e-01,2.677845300996465339e-01,4.587620583498954185e-01,2.261302004661233790e-25
4.732033191434902308e-01,2.243414244166437310e-01,2.666214846097806901e-01,4.527249590316960726e-01,6.680026468513137234e-28
4.660073898984800622e-01,2.268585677511718024e-01,2.653745357556723805e-01,4.463810860045857032e-01,2.627206949520857187e-25
4.587861984845962859e-01,2.289806257665585876e-01,2.641105058674935724e-01,4.399253388151845301e-01,1.332403704774008803e-25
4.515564238738876135e-01,2.308543257673502935e-01,2.628461881983725767e-01,4.334019683335224027e-01,1.615139700945992564e-25
4.443240746835219190e-01,2.325456064039391757e-01,2.615891177153995550e-01,4.268297877311663657e-01,2.235542330775758740e-25
4.370919414454249030e-01,2.340923831926039478e-01,2.603435599689259972e-01,4.202192270112626860e-01,7.108676678273651815e-26
4.298614872757268723e-01,2.355197552403606454e-01,2.591122511353307623e-01,4.135770045027670760e-01,5.772466505414392300e-26
4.226335181040460354e-01,2.368458548400177999e-01,2.578970787645660234e-01,4.069078688234031294e-01,3.178954044251093811e-26
4.154084756984453008e-01,2.380845463359510805e-01,2.566994017988559196e-01,4.002153870189164575e-01,1.834114643276100353e-26
4.081865854769965996e-01,2.392468473918968053e-01,2.555202216486880396e-01,3.935023537458453013e-01,3.299679926265498811e-26
4.009679388524258203e-01,2.403417582418733156e-01,2.543602827280693757e-01,3.867710267936822488e-01,3.639526711572488238e-26
3.937525423721622286e-01,2.413767865290017134e-01,2.532201358417054959e-01,3.800232737873276978e-01,3.328602860162046926e-26
3.865403484674472256e-01,2.423583018821112156e-01,2.521001802328395325e-01,3.732606693305546286e-01,9.323627399655195125e-27
3.793312753296460560e-01,2.432917885793621227e-01,2.510006924135644857e-01,3.664845625141491814e-01,1.817710898712092039e-26
3.721252200421460432e-01,2.441820339425779252e-01,2.499218462103506289e-01,3.596961257164950632e-01,1.791791190904897892e-26
3.649220673782565538e-01,2.450332747719385640e-01,2.488637265279216026e-01,3.528963911093381256e-01,1.036169731805366891e-26
3.577216957409223297e-01,2.458493160886655038e-01,2.478263382257936409e-01,3.460862788730005302e-01,6.852285932674142852e-27
3.505239811820626272e-01,2.466336321739535653e-01,2.468096107782448423e-01,3.392666197861569644e-01,4.302580804163504306e-27
3.433288001160279546e-01,2.473894577926579741e-01,2.458133988180049301e-01,3.324381741075642105e-01,6.715210984823671615e-27
3.361360311420728553e-01,2.481198769263298354e-01,2.448374780854694899e-01,3.256016482903821840e-01,3.361836346701199767e-27
3.289455562678892941e-01,2.488279172574445197e-01,2.438815355517904848e-01,3.187577109835739719e-01,9.903847028599637811e-27
3.217572617579400607e-01,2.495166615719660030e-01,2.429451512998508922e-01,3.119070100061364093e-01,1.028117303528418009e-26
3.145710388137174518e-01,2.501893936813622821e-01,2.420277676377950715e-01,3.050501926995544677e-01,3.781816732145720134e-27
3.073867843538036770e-01,2.508498100334527470e-01,2.411286367966758160e-01,2.981879337340385128e-01,1.840490765640011641e-27
3.002044023945509288e-01,2.515023579769324336e-01,2.402467297729393714e-01,2.913209782688950256e-01,1.360774944628213913e-27
2.930238072516718195e-01,2.521528325922599567e-01,2.393805682067453311e-01,2.844502177225369244e-01,3.625333175044466078e-27
2.858449321240775221e-01,2.528095539577489559e-01,2.385278862228573937e-01,2.775768410434353850e-01,1.688026061901172380e-26
2.786677553737712532e-01,2.534860470665322718e-01,2.376848563248178670e-01,2.707026872586693056e-01,4.598976457357100227e-26
2.725631100678788665e-01,2.540960391501090321e-01,2.369698009152742812e-01,2.648563378037810390e-01,1.304501982733582420e-25
2.682036979884813155e-01,2.545704556898684690e-01,2.364546953179794131e-01,2.606841278666499617e-01,6.839244759108725209e-25
2.650907333262407239e-01,2.549465932950059077e-01,2.360795137972514224e-01,2.577084420357128036e-01,1.238706822770867339e-25
2.628681275208294421e-01,2.552497106153899797e-01,2.358034308142867574e-01,2.555876346608021432e-01,2.457037486441522979e-25
2.612816338619586287e-01,2.554975633355428544e-01,2.355982061642562242e-01,2.540774844037556601e-01,1.437287911356698555e-26
2.601497190690191252e-01,2.557030843612060900e-01,2.354440202956394335e-01,2.530035177475315478e-01,3.401910964512682002e-25
2.593427926107354509e-01,2.558760555865289832e-01,2.353267759507063350e-01,2.522411842306368501e-01,1.248607208837247457e-25
2.587684081857281604e-01,2.560242378912852002e-01,2.352362965372777892e-01,2.517016952798302731e-01,2.000871902853381269e-25
2.583607629378941728e-01,2.561542776095184215e-01,2.351650698922115590e-01,2.513219748175236079e-01,6.152632659823280670e-26
2.580733849138825975e-01,2.562727815492680250e-01,2.351072724688349491e-01,2.510577113868522892e-01,7.162597912135834375e-25
2.578745906122164588e-01,2.563888395587647362e-01,2.350576467477762110e-01,2.508792796308674244e-01,1.772066319618938442e-24
2.577409313963683335e-01,2.565591605615565318e-01,2.349981681196237626e-01,2.507711880861585030e-01,1.010633863133685133e-25
