F,abs_Delta1,abs_eta5
3.400000000000000244e-01,3.150957510839350606e-01,7.231113468705256848e-03
3.200000000000000067e-01,2.960142352243828601e-01,5.864039608565941274e-03
2.999999999999999889e-01,2.770451586283306789e-01,4.676248256267005049e-03
2.800000000000000266e-01,2.581769986276692963e-01,3.656063532926648752e-03
2.600000000000000089e-01,2.393993063801694854e-01,2.792972718731494795e-03
2.399999999999999911e-01,2.207025543216622476e-01,2.076605039679921272e-03
2.200000000000000011e-01,2.020780075744129378e-01,1.495825137982393846e-03
2.000000000000000111e-01,1.835176144122474262e-01,1.038102872676843497e-03
